STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
MONTANA,35,0,0,0,0,1000000.0,0.0,1000000.0,0,0,714168,6623,71677,786690,WEST,MOUNTAIN,1980
NEBRASKA,434,204,0,5,0,303080530.0,0.0,303080530.0,204,5,1337838,11255,96310,1569825,MIDWEST,WEST NORTH CENTRAL,1980
NEVADA,7,0,0,0,0,0.0,0.0,0.0,0,0,674563,6107,43385,800493,WEST,MOUNTAIN,1980
NEW HAMPSHIRE,10,0,0,0,0,250000.0,0.0,250000.0,0,0,746614,6427,14344,920610,NORTHEAST,NEW ENGLAND,1980
NEW JERSEY,24,0,0,0,0,25000.0,0.0,25000.0,0,0,4867439,50264,33438,7364823,NORTHEAST,MIDDLE ATLANTIC,1980
NEW MEXICO,12,0,0,0,0,2530.0,0.0,2530.0,0,0,1118462,11308,54190,1302894,WEST,MOUNTAIN,1980
NEW YORK,55,0,0,0,0,2777500.0,0.0,2777500.0,0,0,8197793,77622,109406,17558072,NORTHEAST,MIDDLE ATLANTIC,1980
NORTH CAROLINA,76,0,0,0,0,828250.0,0.0,828250.0,0,0,4647033,41346,92474,5881766,SOUTH,SOUTH ATLANTIC,1980
NORTH DAKOTA,225,0,0,0,0,180250.0,0.0,180250.0,0,0,656604,5284,85777,652717,MIDWEST,WEST NORTH CENTRAL,1980
OHIO,409,57,0,0,0,57130000.0,0.0,57130000.0,57,0,8047316,72000,110727,10797630,MIDWEST,EAST NORTH CENTRAL,1980
OKLAHOMA,215,20,0,0,0,19057750.0,0.0,19057750.0,20,0,2812744,27410,109775,3025290,SOUTH,WEST SOUTH CENTRAL,1980
PENNSYLVANIA,137,142,0,0,0,1008585250.0,0.0,1008585250.0,142,0,7139778,71524,117423,11863895,NORTHEAST,MIDDLE ATLANTIC,1980
SOUTH CAROLINA,41,45,0,0,0,11075000.0,0.0,11075000.0,45,0,2034987,22719,62460,3121820,SOUTH,SOUTH ATLANTIC,1980
SOUTH DAKOTA,252,0,0,0,0,252530.0,0.0,252530.0,0,0,636363,6195,73114,690768,MIDWEST,WEST NORTH CENTRAL,1980
TENNESSEE,54,19,0,0,0,1730250.0,0.0,1730250.0,19,0,3355593,33505,83633,4591120,SOUTH,EAST SOUTH CENTRAL,1980
